feature_name,feature_origin,feature_type,system_layer,temporal_relation_to_target,output_role,allowed_model_input,leakage_risk
synthetic_waste_rate_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,low
synthetic_yield_rate_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,low
demand_index_lag_2,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,review,low
demand_index_lag_8,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,review,low
demand_index_roll_mean_12,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,review,low
demand_supply_ratio,derived_ratio_gap,derived,engineered_feature,current_t_context,input_or_diagnostic,review,low
synthetic_lead_time_days_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_plant_capacity_utilization_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_plant_capacity_utilization_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_plant_capacity_utilization_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_plant_capacity_utilization_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_plant_capacity_utilization_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_plant_production_volume_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_plant_production_volume_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_plant_production_volume_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_plant_production_volume_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_plant_production_volume_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_waste_rate_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_waste_rate_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_waste_rate_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_waste_rate_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_waste_rate_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_yield_rate_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_yield_rate_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_yield_rate_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,review,low
synthetic_yield_rate_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
synthetic_yield_rate_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,review,low
