campaign,week,price_white,price_red,source_url,scraped_at
2023/2024,27,46.09,47.12,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/272024boletinpreciosdelvinodel1al7dejulio.pdf,2025-12-10T09:45:01.659373
2023/2024,28,44.29,43.67,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/282024boletinpreciosdelvinodel8al14dejulio.pdf,2025-12-10T09:45:00.141767
2023/2024,29,45.77,44.84,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/292024boletinpreciosdelvinodel15al21dejulio.pdf,2025-12-10T09:44:58.681296
2023/2024,30,45.7,43.13,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/302024boletinpreciosdelvinodel22al28dejulio.pdf,2025-12-10T09:44:57.214878
2023/2024,31,37.54,37.08,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/312023boletinpreciosdelvinodel31dejulioal6deagosto.pdf,2025-12-10T09:46:11.297050
2023/2024,32,37.28,36.66,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/322023boletinpreciosdelvinodel7al13deagosto.pdf,2025-12-10T09:46:09.933521
2023/2024,33,38.38,36.65,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/332023boletinpreciosdelvinodel14al20deagosto.pdf,2025-12-10T09:46:08.598471
2023/2024,34,38.16,36.72,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/342023boletinpreciosdelvinodel21al27deagosto.pdf,2025-12-10T09:46:07.266593
2023/2024,35,38.41,36.96,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/352023boletinpreciosdelvinodel28deagostoal3deseptiembre.pdf,2025-12-10T09:46:05.927643
2023/2024,36,37.74,37.31,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/362023boletinpreciosdelvinodel4al10deseptiembre.pdf,2025-12-10T09:46:04.598578
2023/2024,37,38.62,37.53,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/372023boletinpreciosdelvinodel11al17deseptiembre.pdf,2025-12-10T09:46:03.220707
2023/2024,38,39.86,38.62,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/382023boletinpreciosdelvinodel18al24deseptiembre.pdf,2025-12-10T09:46:01.875437
2023/2024,39,40.32,38.83,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/392023boletinpreciosdelvinodel25deseptiembreal1deoctubre.pdf,2025-12-10T09:46:00.544917
2023/2024,40,38.28,38.94,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/402023boletinpreciosdelvinodel2al8deoctubre.pdf,2025-12-10T09:45:59.180152
2023/2024,41,38.76,40.27,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/412023boletinpreciosdelvinodel9al15deoctubre.pdf,2025-12-10T09:45:57.812534
2023/2024,42,43.1,40.74,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/422023boletinpreciosdelvinodel16al22deoctubre.pdf,2025-12-10T09:45:56.465329
2023/2024,43,43.45,39.68,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/432023boletinpreciosdelvinodel23al29deoctubre.pdf,2025-12-10T09:45:55.124503
2023/2024,44,42.84,39.73,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/442023boletinpreciosdelvinodel30deoctubreal5denoviembre.pdf,2025-12-10T09:45:53.534682
